7 3 zimno
6 9 zimno
12 1 zimno
16 6 zimno
16 9 zimno
14 4 zimno
13 4 zimno
19 4 ciepło
18 4 zimno
15 1 zimno
5 6 zimno
20 7 zimno
25 1 ciepło
22 6 ciepło
21 6 ciepło
27 2 ciepło
26 6 ciepło
8 5 zimno
23 7 ciepło
5 8 zimno
28 5 ciepło
10 8 zimno
9 0 zimno
6 7 zimno
30 0 ciepło
29 8 ciepło
11 5 zimno
10 7 zimno
16 3 zimno
17 7 zimno
12 6 zimno
8 8 zimno
17 2 ciepło
14 1 zimno
13 7 zimno
20 9 zimno
19 3 ciepło
18 9 zimno
5 7 zimno
24 1 ciepło
20 4 ciepło
22 3 ciepło
27 1 ciepło
8 2 zimno
23 10 zimno
28 10 zimno
9 3 zimno
15 5 zimno
6 0 zimno
11 0 zimno
16 0 zimno
16 5 zimno
14 2 zimno
13 10 zimno
6 8 zimno
25 10 zimno
26 1 ciepło
21 9 zimno
9 9 zimno
23 9 zimno
29 1 ciepło
7 8 zimno
14 8 zimno
13 0 zimno
12 8 zimno
19 8 zimno
18 0 ciepło
17 8 zimno
24 8 ciepło
20 3 ciepło
25 5 ciepło
21 2 ciepło
5 4 zimno
27 6 ciepło
26 2 ciepło
8 9 zimno
23 3 ciepło
22 9 zimno
28 1 ciepło
9 4 zimno
5 1 zimno
29 4 ciepło
10 3 zimno
7 2 zimno
12 2 zimno
11 10 zimno
17 6 zimno
16 10 zimno
14 5 zimno
13 3 zimno
19 7 zimno
18 5 zimno
16 4 zimno
15 0 zimno
15 6 zimno
21 8 zimno
20 0 ciepło
26 8 ciepło
25 0 ciepło
22 7 ciepło
21 5 ciepło
27 5 ciepło
26 7 ciepło
8 6 zimno
23 6 ciepło
22 10 zimno
28 6 ciepło
10 9 zimno
9 7 zimno
6 4 zimno
30 1 ciepło
29 7 ciepło
11 4 zimno
10 4 zimno
7 1 zimno
12 7 zimno
11 9 zimno
17 1 ciepło
15 10 zimno
14 6 zimno
13 6 zimno
20 10 zimno
19 2 ciepło
18 6 zimno
24 2 ciepło
20 5 ciepło
25 3 ciepło
22 0 ciepło
5 5 zimno
27 0 ciepło
8 3 zimno
23 5 ciepło
5 10 zimno
10 10 zimno
9 2 zimno
6 1 zimno
30 2 ciepło
29 10 zimno
11 3 zimno
16 1 zimno
12 4 zimno
15 9 zimno
14 3 zimno
13 9 zimno
19 1 ciepło
7 6 zimno
15 7 zimno
6 10 zimno
9 8 zimno
8 0 zimno
23 8 ciepło
30 8 ciepło
29 0 ciepło
28 8 ciepło
6 2 zimno
14 9 zimno
12 9 zimno
18 1 ciepło
24 9 ciepło
25 9 ciepło
25 4 ciepło
21 1 ciepło
26 3 ciepło
8 10 zimno
23 2 ciepło
28 2 ciepło
27 10 zimno
5 0 zimno
29 3 ciepło
10 0 zimno
12 3 zimno
17 5 zimno
30 6 ciepło
14 10 zimno
13 2 zimno
30 5 ciepło
19 6 zimno
18 2 ciepło
17 10 zimno
15 3 zimno
20 1 ciepło
26 9 ciepło
7 7 zimno
15 4 zimno
21 4 ciepło
19 9 zimno
27 4 ciepło
26 4 ciepło
8 7 zimno
23 1 ciepło
24 4 ciepło
28 7 ciepło
27 9 ciepło
9 6 zimno
6 5 zimno
5 3 zimno
29 6 ciepło
11 7 zimno
10 5 zimno
7 0 zimno
24 7 ciepło
12 0 zimno
11 8 zimno
17 0 ciepło
16 8 zimno
14 7 zimno
13 5 zimno
19 5 ciepło
18 7 zimno
24 3 ciepło
21 10 zimno
20 6 ciepło
26 10 zimno
25 2 ciepło
22 1 ciepło
21 7 zimno
27 3 ciepło
8 4 zimno
23 4 ciepło
5 9 zimno
28 4 ciepło
20 8 zimno
9 1 zimno
6 6 zimno
30 3 ciepło
29 9 ciepło
11 2 zimno
10 6 zimno
16 2 zimno
12 5 zimno
17 3 ciepło
15 8 zimno
14 0 zimno
13 8 zimno
30 4 ciepło
19 0 ciepło
18 8 zimno
25 8 ciepło
24 0 ciepło
7 4 zimno
22 2 ciepło
8 1 zimno
30 9 ciepło
28 9 ciepło
6 3 zimno
11 1 zimno
16 7 zimno
7 10 zimno
24 6 ciepło
12 10 zimno
19 10 zimno
24 10 zimno
21 0 ciepło
26 0 ciepło
30 7 ciepło
28 3 ciepło
9 10 zimno
30 10 zimno
29 2 ciepło
10 1 zimno
25 7 ciepło
18 10 zimno
17 4 zimno
7 9 zimno
13 1 zimno
24 5 ciepło
18 3 ciepło
17 9 zimno
15 2 zimno
22 4 ciepło
20 2 ciepło
25 6 ciepło
22 5 ciepło
21 3 ciepło
27 7 ciepło
26 5 ciepło
7 5 zimno
23 0 ciepło
22 8 ciepło
28 0 ciepło
27 8 ciepło
9 5 zimno
5 2 zimno
29 5 ciepło
11 6 zimno
10 2 zimno
